SITE_ID,SITE_NAME,2015_DATA_TIER,2015_DATA_START,2015_DATA_END,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP
RU-Vrk,Seida/Vorkuta,Tier2,Tier2: 2008,Tier2: 2008,67.0547,62.9405,100,CSH,-5.6,501
SD-Dem,Demokeya,"Tier1,",Tier1: 2005,Tier1: 2009,13.2829,30.4783,500,SAV,26,320
,,Tier2,Tier2: 2005,Tier2: 2009,,,,,,
SE-St1,Stordalen grassland,Tier2,Tier2: 2012,Tier2: 2014,68.3542,19.0503,351,WET,-0.7,303
SN-Dhr,Dahra,"Tier1,",Tier1: 2010,Tier1: 2013,15.4028,-15.4322,40,SAV,29,404
,,Tier2,Tier2: 2010,Tier2: 2013,,,,,,
US-AR1,ARM USDA UNL OSU Woodward Switchgrass 1,"Tier1,",Tier1: 2009,Tier1: 2012,36.4267,-99.42,611,GRA,,
,,Tier2,Tier2: 2009,Tier2: 2012,,,,,,
US-AR2,ARM USDA UNL OSU Woodward Switchgrass 2,"Tier1,",Tier1: 2009,Tier1: 2012,36.6358,-99.5975,646,GRA,,
,,Tier2,Tier2: 2009,Tier2: 2012,,,,,,
US-ARb,ARM Southern Great Plains burn site- Lamont,"Tier1,",Tier1: 2005,Tier1: 2006,35.5497,-98.0402,424,GRA,,
,,Tier2,Tier2: 2005,Tier2: 2006,,,,,,
US-ARc,ARM Southern Great Plains control site- Lamont,"Tier1,",Tier1: 2005,Tier1: 2006,35.5465,-98.04,424,GRA,,
,,Tier2,Tier2: 2005,Tier2: 2006,,,,,,
US-ARM,ARM Southern Great Plains site- Lamont,"Tier1,",Tier1: 2003,Tier1: 2012,36.6058,-97.4888,314,CRO,14.76,843
,,Tier2,Tier2: 2003,Tier2: 2012,,,,,,
